symbol,tipo
AA,ACCION
AAL,ACCION
AAOI,ACCION
AAPL,ACCION
AAXJ,ETF
ABBV,ACCION
ABEV,ACCION
ABNB,ACCION
ABSI,ACCION
ABT,ACCION
ACHR,ACCION
ACIW,ACCION
ACMR,ACCION
ACN,ACCION
ACWI,ETF
ADBE,ACCION
ADM,ACCION
AEG,ACCION
AEM,ACCION
AES,ACCION
AFL,ACCION
AFRM,ACCION
AGNC,ACCION
AGQ,ACCION
AGRO,ACCION
AI,ACCION
AIG,ACCION
ALAB,ACCION
ALAR,ACCION
ALB,ACCION
ALC,ACCION
ALGN,ACCION
AMD,ACCION
AMR,ACCION
AMT,ACCION
AMX,ACCION
AMZN,ACCION
ANET,ACCION
AOK,ETF
AOM,ETF
APLD,ACCION
APLE,ACCION
APO,ACCION
APP,ACCION
ARCC,ACCION
ARCO,ACCION
ARE,ACCION
ARGT,ETF
ARKB,ETF
ARKF,ETF
ARKG,ETF
ARKK,ETF
ARM,ACCION
ARRY,ACCION
ARTY,ETF
ARX,ACCION
ASAN,ACCION
ASC,ACCION
ASEA,ETF
ASML,ACCION
ASTI,ACCION
ASTS,ACCION
AVGO,ACCION
AVPT,ACCION
AXIA,ACCION
AXP,ACCION
AZN,ACCION
B,ACCION
BA,ACCION
BABA,ACCION
BAC,ACCION
BAK,ACCION
BAM,ACCION
BB,ACCION
BBAI,ACCION
BBAR,ACCION
BBD,ACCION
BCS,ACCION
BE,ACCION
BEAM,ACCION
BEP,ACCION
BF-B,ACCION
BG,ACCION
BHP,ACCION
BIDU,ACCION
BIIB,ACCION
BIL,ETF
BIOX,ACCION
BITF,ACCION
BITO,ETF
BITX,ETF_APALANCADO
BK,ACCION
BKLN,ETF
BKR,ACCION
BLDP,ACCION
BLK,ACCION
BLNK,ACCION
BLOK,ETF
BMA,ACCION
BMNR,ACCION
BN,ACCION
BND,ETF
BNDX,ETF
BNTX,ACCION
BOTZ,ETF
BP,ACCION
BRK-B,ACCION
BROS,ACCION
BRZU,ETF_APALANCADO
BTDR,ACCION
BTG,ACCION
BTGD,ETF
BTI,ACCION
BUD,ACCION
BULL,ACCION
BWX,ETF
BX,ACCION
BYD,ACCION
BYND,ACCION
C,ACCION
CAAP,ACCION
CAH,ACCION
CAN,ACCION
CAR,ACCION
CAT,ACCION
CCJ,ACCION
CCL,ACCION
CDE,ACCION
CDNS,ACCION
CEG,ACCION
CELH,ACCION
CENX,ACCION
CEPU,ACCION
CGC,ACCION
CHIQ,ETF
CHRD,ACCION
CHTR,ACCION
CIBR,ETF
CIEN,ACCION
CIFR,ACCION
CL,ACCION
CLS,ACCION
CLSK,ACCION
CLX,ACCION
CMCSA,ACCION
CME,ACCION
CMG,ACCION
CNC,ACCION
CNI,ACCION
CNQ,ACCION
CNXC,ACCION
COIN,ACCION
COP,ACCION
COPX,ETF
CORN,ETF
CORZ,ACCION
COST,ACCION
CP,ACCION
CPA,ACCION
CPNG,ACCION
CPRT,ACCION
CRCL,ACCION
CRDO,ACCION
CRESY,ACCION
CRM,ACCION
CROX,ACCION
CRSP,ACCION
CRWD,ACCION
CSAN,ACCION
CSCO,ACCION
CSIQ,ACCION
CVNA,ACCION
CVS,ACCION
CVX,ACCION
DAL,ACCION
DAVA,ACCION
DAVE,ACCION
DBA,ETF
DBC,ETF
DDD,ACCION
DDOG,ACCION
DECK,ACCION
DELL,ACCION
DEO,ACCION
DG,ACCION
DIA,ETF
DIS,ACCION
DIV,ETF
DJT,ACCION
DKNG,ACCION
DLO,ACCION
DLR,ACCION
DLTR,ACCION
DNN,ACCION
DOCU,ACCION
DOW,ACCION
DUOL,ACCION
DVN,ACCION
EA,ACCION
EBAY,ACCION
ECH,ETF
EDN,ACCION
EEM,ETF
EGY,ACCION
EH,ACCION
EL,ACCION
ELV,ACCION
EMB,ETF
EMBJ,ACCION
ENB,ACCION
ENPH,ACCION
EPAM,ACCION
EQNR,ACCION
ERNA,ACCION
ESGU,ETF
ET,ACCION
ETH,ETF
ETHA,ETF
ETHE,ETF
ETHU,ETF_APALANCADO
ETN,ACCION
ETOR,ACCION
EWG,ETF
EWJ,ETF
EWU,ETF
EWY,ETF
EWZ,ETF
EWZS,ETF
EXK,ACCION
EXPE,ACCION
F,ACCION
FAZ,ETF_APALANCADO
FDX,ACCION
FFAI,ACCION
FIG,ACCION
FIGR,ACCION
FISV,ACCION
FIVE,ACCION
FLNC,ACCION
FNV,ACCION
FPH,ACCION
FRPH,ACCION
FSLR,ACCION
FTNT,ACCION
FUBO,ACCION
FUTU,ACCION
FXE,ETF
FXI,ETF
FXY,ETF
GAIN,ACCION
GAMB,ACCION
GBIL,ETF
GCT,ACCION
GDLC,ACCION
GDX,ETF
GDXJ,ETF
GE,ACCION
GEHC,ACCION
GEV,ACCION
GGAL,ACCION
GGB,ACCION
GILD,ACCION
GIS,ACCION
GLD,ETF
GLL,ETF
GLOB,ACCION
GLW,ACCION
GLXY,ACCION
GM,ACCION
GME,ACCION
GOOD,ACCION
GOOG,ACCION
GOOGL,ACCION
GPN,ACCION
GPRK,ACCION
GPRO,ACCION
GPUS,ACCION
GRAB,ACCION
GRBK,ACCION
GS,ACCION
GSAT,ACCION
GSBD,ACCION
GSG,ETF
GT,ACCION
HAL,ACCION
HD,ACCION
HDB,ACCION
HDV,ETF
HGV,ACCION
HHH,ACCION
HIMS,ACCION
HMC,ACCION
HMY,ACCION
HODL,ACCION
HOG,ACCION
HON,ACCION
HOOD,ACCION
HPE,ACCION
HPK,ACCION
HPQ,ACCION
HRL,ACCION
HSY,ACCION
HTGC,ACCION
HTZ,ACCION
HUM,ACCION
HUT,ACCION
HUYA,ACCION
HYG,ETF
IAU,ETF
IBB,ETF
IBIT,ETF
IBM,ACCION
IBTA,ACCION
ICLN,ETF
IEF,ETF
IEI,ETF
IEUR,ETF
IGIC,ACCION
IGSB,ETF
IGV,ETF
IIPR,ACCION
IJH,ETF
IJJ,ETF
IJR,ETF
IJS,ETF
IJT,ETF
ILF,ETF
ILMN,ACCION
IMO,ACCION
INDA,ETF
INDI,ACCION
INDY,ETF
INFY,ACCION
INTC,ACCION
IONQ,ACCION
IQ,ACCION
IREN,ACCION
IRM,ACCION
IRS,ACCION
ISRG,ACCION
ITA,ETF
IVE,ETF
IVV,ETF
IVW,ETF
IWF,ETF
IWM,ETF
IWV,ETF
IXN,ETF
IXUS,ETF
IYR,ETF
IYW,ETF
JD,ACCION
JEPI,ETF
JEPQ,ETF
JETS,ETF
JKS,ACCION
JMIA,ACCION
JNJ,ACCION
JOBY,ACCION
JOE,ACCION
JOYY,ACCION
JPM,ACCION
KBWD,ETF
KD,ACCION
KGC,ACCION
KHC,ACCION
KMI,ACCION
KO,ACCION
KOS,ACCION
KSPI,ACCION
KSS,ACCION
KVUE,ACCION
LAC,ACCION
LAES,ACCION
LAR,ACCION
LCID,ACCION
LI,ACCION
LIT,ETF
LLY,ACCION
LMND,ACCION
LMT,ACCION
LND,ACCION
LOMA,ACCION
LQD,ETF
LRCX,ACCION
LTM,ACCION
LTPZ,ACCION
LULU,ACCION
LUMN,ACCION
LUNR,ACCION
MA,ACCION
MAC,ACCION
MAGS,ETF
MAIN,ACCION
MARA,ACCION
MCD,ACCION
MCHI,ETF
MCHP,ACCION
MCO,ACCION
MDLZ,ACCION
MELI,ACCION
META,ACCION
MGK,ETF
MJ,ETF
MLEC,ACCION
MMM,ACCION
MO,ACCION
MOS,ACCION
MP,ACCION
MRK,ACCION
MRNA,ACCION
MRSH,ACCION
MRVL,ACCION
MSCI,ACCION
MSFT,ACCION
MSI,ACCION
MSTR,ACCION
MSTU,ETF_APALANCADO
MSTX,ETF_APALANCADO
MSTY,ETF_APALANCADO
MT,ACCION
MU,ACCION
MUFG,ACCION
MUX,ACCION
NBIS,ACCION
NCLH,ACCION
NEE,ACCION
NEM,ACCION
NEON,ACCION
NET,ACCION
NFLX,ACCION
NGG,ACCION
NIO,ACCION
NIU,ACCION
NKE,ACCION
NLY,ACCION
NNE,ACCION
NNOX,ACCION
NOBL,ETF
NOV,ACCION
NOW,ACCION
NTR,ACCION
NU,ACCION
NUE,ACCION
NVAX,ACCION
NVD,ETF_INVERSO
NVDA,ACCION
NVDL,ETF_APALANCADO
NVO,ACCION
NVS,ACCION
NVTS,ACCION
NXE,ACCION
NXPI,ACCION
O,ACCION
OCGN,ACCION
ODD,ACCION
OKLO,ACCION
ON,ACCION
ONON,ACCION
OPEN,ACCION
OPFI,ACCION
ORCL,ACCION
OSCR,ACCION
OWL,ACCION
OXY,ACCION
PAAS,ACCION
PAGS,ACCION
PALL,ETF
PAM,ACCION
PANW,ACCION
PATH,ACCION
PAYC,ACCION
PBI,ACCION
PBR,ACCION
PBYI,ACCION
PCAR,ACCION
PDD,ACCION
PEP,ACCION
PFE,ACCION
PG,ACCION
PHG,ACCION
PHK,ACCION
PHO,ETF
PHUN,ACCION
PINS,ACCION
PLG,ACCION
PLTR,ACCION
PLUG,ACCION
PM,ACCION
POWL,ACCION
PPA,ETF
PPLT,ETF
PSCE,ETF
PSEC,ACCION
PSKY,ACCION
PSP,ETF
PSQ,ACCION
PTON,ACCION
PVH,ACCION
PYPL,ACCION
QBTS,ACCION
QCLN,ETF
QCOM,ACCION
QMCO,ACCION
QQQ,ETF
QQQM,ETF
QS,ACCION
QSR,ACCION
QTUM,ETF
QUAL,ETF
QUBT,ACCION
QYLD,ETF
RACE,ACCION
RBLX,ACCION
RBRK,ACCION
RCAT,ACCION
RCL,ACCION
RDDT,ACCION
RDW,ACCION
